Timestamp,Age range?,Current work situation? ,"Do you use voice dictation, voice notes, or voice-to-text tools in your work? ( e.g., Kivi, Google's voice typing, iPhone dictation, WhatsApp voice notes, Otter.ai, Google Recorder )","How much of your day involves switching between multiple tools/apps (Slack, email, docs, calls, AI Tools)? ",Which AI tool do you rely on most overall? ,"Has an AI ever surprised you by remembering something from an earlier chat like your name, your job, something you like, or a past conversation? ","Overall, how comfortable are you sharing personal data with AI tools (ChatGPT, Claude, Gemini, Kivi, Siri, Alexa etc.)? ", What would AI tools need to do differently for you to trust them more with your data? (checkbox — select all that apply),"Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Project & people context — remembers who's on which project, client names, team roles]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [My working style — how I like emails/messages written, my tone, formatting habits]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Past decisions & discussions — what was already discussed or decided in earlier meetings/calls]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Deadlines & commitments — things I've promised, due dates I've mentioned out loud]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Recurring tasks/routines — things I do every week (status updates, reports, standups)]","Anything else from your work life you'd want it to remember? (optional, short text)  ","Would you want your assistant's work memory to reset for a new job or new team, or should it just add on top of old context? ","Would you be comfortable with your assistant remembering things like performance feedback, salary discussions, or conflicts with a manager/colleague, if you mentioned them? ","Rank these from most to least useful if your assistant remembered them about your personal life   [People & relationships you mention (family, friends, names)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Habits & routines (sleep, workouts, daily patterns)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Preferences (food, entertainment, hobbies)]",Rank these from most to least useful if your assistant remembered them about your personal life   [Personal goals or plans you've mentioned],"Rank these from most to least useful if your assistant remembered them about your personal life   [Recurring personal commitments (birthdays, events, routines)]",Anything else from your personal life you'd want it to remember? (optional and short text),"Which of these would you NOT want an AI to remember automatically, even if you mentioned it in passing? ","Imagine you're dictating a work email and you casually mention something personal — like 'sorry, running late, just left a doctor's appointment.' Should your assistant remember that personal detail too, or should it only pick up on the work-related parts? ","Should personal memory fade over time (e.g., an old hobby or an outdated relationship detail), or should it stay stored until you delete it yourself? ","Would you be comfortable with your assistant remembering sensitive personal moments — like something said during an argument, a health scare, or a low moment — if you mentioned it out loud? ",What would make you MORE comfortable letting an AI remember personal (not work) details about you? ,"What's one thing you wish your AI assistant already knew about you, without having to explain it every time? ","Tell us about a time an AI assistant either really understood you, or got something wrong/made up an answer — what happened? ","What's one thing that would make you trust an AI assistant less, permanently? "
06/09/2026 01:40:59,16-20,Student,Rarely,A few times a day,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",Least useful,Most useful,Most useful,3rd,4th,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Most Useful,Most Useful,3rd,Most Useful,4th,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,"Fade automatically after a while, Let me choose, per item","Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 02:29:31,20-24,Student,Never,Constantly,Claude,"Yes, once or twice",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",4th,Least useful,2nd,Most useful,3rd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Most Useful,Least Useful,3rd,2nd,4th,,Health or medical details,"No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 03:01:16,20-24,Student,A few times a week,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new",Most useful,Most useful,Most useful,Most useful,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,Most Useful,Most Useful,3rd,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred","The way I work, or organise things, or the way i write reports and projects ",It has got wrong many times - I give a sample reference and it starts making exactly that and based on that context ,Wrong thesis continuously over a period of time
06/09/2026 03:50:52,20-24,Student,Daily,I mostly work in one tool,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Ask permission before saving something new, Never share my data with other companies/products",Most useful,Most useful,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Least Useful,3rd,2nd,2nd,2nd,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly",The way i need my answers how i organise or present them,See if i had an task to do and at end of i need a pdf and if i ask for a pdf the pdf layout or templates look so bad i had to do again manually,Popping up things unnecessarily 
06/09/2026 04:25:31,16-20,Student,Daily,Constantly,ChatGPT,"Yes, once or twice","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,2nd,3rd,Most useful,3rd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",2nd,3rd,2nd,Most Useful,3rd,,Health or medical details,"No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 04:54:17,20-24,Student,A few times a week,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily",3rd,Most useful,2nd,Most useful,2nd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Most Useful,Most Useful,Most Useful,Most Useful,3rd,,"Relationship status or conflicts, Financial situation, Your emotional or mental state","Yes, remember it just like anything else","Stay stored until I manually delete it, Let me choose, per item","Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 06:00:34,20-24,Student,A few times a week,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,3rd,2nd,Most useful,Least useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,4th,2nd,2nd,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this"", No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",Previous decisions for a project,,
06/09/2026 06:37:53,20-24,Student,Never,A few times a day,Gemini,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Store everything on my device, not the cloud",2nd,Most useful,3rd,4th,Least useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",2nd,3rd,2nd,Most Useful,2nd,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","Only if I explicitly say ""remember this""","Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 07:18:32,20-24,Student,Daily,Constantly,Claude,"Yes, once or twice","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",4th,Least useful,Most useful,2nd,3rd,The citations it fetch.,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,Most Useful,3rd,2nd,4th,,Relationship status or conflicts,Depends on how personal or sensitive it is,"Let me choose, per item","No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",my profession and work related research criteria,"During my research for preparation of a memorial, it was mind blowing of Claude AI to precisely help me sort my case details based on it's accurate citation research.","Third party data sharing, and privacy breach"
06/09/2026 08:22:18,20-24,Student,Daily,Constantly,ChatGPT,"Yes, once or twice",Very comfortable — I don't think much about it,"Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 08:23:56,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",4th,2nd,Most useful,3rd,Least useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,2nd,3rd,Most Useful,4th,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 09:04:53,20-24,Student,Rarely,I mostly work in one tool,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",3rd,Most useful,Least useful,4th,2nd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Least Useful,Most Useful,2nd,3rd,4th,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 09:06:14,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, once or twice",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Store everything on my device, not the cloud",2nd,Most useful,Most useful,3rd,Least useful,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",4th,Most Useful,2nd,3rd,Most Useful,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Fade automatically after a while,"Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly","It always assumes my gender is male. I’m female, so the gender perspective sorta changes in ways.",,"If the data I’m typing is accessible to someone else on another device, I’d be more careful."
06/09/2026 09:23:20,20-24,Student,Daily,A few times a day,Siri / Google Assistant / Alexa,"No, it always starts fresh like we've never talked before",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,Most useful,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,2nd,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""",Full visibility into everything it's stored,,When you upload a lot of stuff for reference and then when you upload a question paper and ask for que 4 it will start hallucinating and give answer of some random question from random attached reference. I mean bro just ask if you see a lot of question 4's,Sharing my data to someone for ads 
06/09/2026 09:58:55,16-20,Student,Rarely,Constantly,Gemini,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",Most useful,Most useful,Most useful,Most useful,Most useful,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,2nd,2nd,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is",Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 10:31:10,20-24,Student,Daily,A few times a day,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily",3rd,2nd,Most useful,3rd,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",4th,Most Useful,4th,Most Useful,4th,,Relationship status or conflicts,"Yes, remember it just like anything else","Let me choose, per item","Only if I explicitly say ""remember this""",Knowing it's never used for ads/marketing,,,
06/09/2026 10:43:09,24-32,Working professional (individual contributor),Daily,A few times a day,ChatGPT,"Yes, once or twice","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,2nd,Most useful,2nd,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Most Useful,Most Useful,Most Useful,Most Useful,2nd,,Financial situation,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly",My basic detail like name and all,,
06/09/2026 10:44:52,20-24,Working professional (individual contributor),Never,I mostly work in one tool,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Ask permission before saving something new, Explain why they used a piece of information, Store everything on my device, not the cloud",Least useful,Most useful,2nd,Least useful,Least useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Most Useful,2nd,2nd,Most Useful,Most Useful,,None of these — I'm fine with all of it,"No, only remember the work-related part",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 10:48:33,20-24,Student,Never,A few times a day,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",2nd,Most useful,Most useful,Most useful,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,3rd,3rd,3rd,3rd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 11:01:27,40+,Working professional (manager/lead),Never,Constantly,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,Clearly show me what they've stored about me,Least useful,4th,2nd,2nd,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Least Useful,3rd,Least Useful,Least Useful,Least Useful,,"Relationship status or conflicts, ","Yes, remember it just like anything else",Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 11:06:44,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,2nd,3rd,Most useful,2nd,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",4th,3rd,2nd,3rd,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 11:49:24,24-32,Working professional (individual contributor),A few times a week,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,Most useful,Most useful,Most useful,Most useful,,Let it figure out what's still relevant on its own,"No, keep sensitive work topics out entirely",3rd,Most Useful,Most Useful,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details","No, only remember the work-related part, Depends on how personal or sensitive it is","Stay stored until I manually delete it, Let me choose, per item","Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred","I’m preparing for a job switch, so when I ask about coding, .NET, React, SQL, system design, or interview topics, assume I want an interview-focused, practical answer, not just a textbook explanation",It really understood my personality traits and based on that it answers my emotional questions. ,Sometimes ignoring explicit instructions repeatedly. And not reading the project solution correctly and give inaccurate answers. 
06/09/2026 12:23:54,20-24,Student,Daily,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",Most useful,Most useful,2nd,Most useful,2nd,No,"Keep everything, just let me organize/tag it","Yes, if it helps me later",2nd,Most Useful,Most Useful,Most Useful,2nd,,Health or medical details,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 12:43:39,20-24,Working professional (individual contributor),Never,Constantly,Copilot,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",3rd,Most useful,4th,2nd,Least useful,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Least Useful,3rd,4th,2nd,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item, ","No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 12:53:09,20-24,Student,Daily,Constantly,Gemini,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,2nd,Most useful,Most useful,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,2nd,Most Useful,2nd,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation",Depends on how personal or sensitive it is,"Let me choose, per item","No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
