id,captured_at,app,destination,project,client,style,raw_asr,formatted_text,duration_ms,mode,plant
rec-0014,2026-07-07T14:31:25.263158+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,reviewed the pull request for the atlas settings screen tagged it so it is easy to find later,Reviewed the pull request for the Atlas settings screen. Tagged it so it is easy to find later.,4845,dictation,
rec-0015,2026-07-07T16:37:22.105263+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,left comments on the second half of the amber flow left a note for sana,Left comments on the second half of the Ember flow. Left a note for Sana.,4380,dictation,
rec-0016,2026-07-07T16:56:28.421053+00:00,Linear,EMB,Ember,Vertex,terse,archived the amber research recordings from last month. left a note for dev.,Archived the Ember research recordings from last month. Left a note for Dev.,4484,dictation,
rec-0017,2026-07-07T17:48:18.947368+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,walked through the ember onboarding copy one more time tagged it so it is easy to find later,Walked through the Ember onboarding copy one more time. Tagged it so it is easy to find later.,5546,dictation,
rec-0018,2026-07-07T18:23:15.789474+00:00,Slack,Dev,Atlas,Northwind,casual,renamed the atlas components so the naming matches the spec,Renamed the Atlas components so the naming matches the spec.,3360,dictation,
rec-0019,2026-07-08T09:01:53.684211+00:00,Slack,#ember-ds,Ember,Vertex,casual,renamed the ember components so the naming matches the spec,Renamed the Ember components so the naming matches the spec.,2640,dictation,
rec-0020,2026-07-08T09:30:00+00:00,Notion,Ember spec,Ember,Vertex,structured,amber is the vertex design system rebuild running through the autumn,Ember is the Vertex design system rebuild running through the autumn.,4140,dictation,project_context_Ember
rec-0021,2026-07-08T09:33:34.736842+00:00,Linear,ATL,Atlas,Northwind,terse,walked through the atlas onboarding copy one more time that closes out the first batch,Walked through the Atlas onboarding copy one more time. That closes out the first batch.,5456,dictation,
rec-0022,2026-07-08T11:22:37.894737+00:00,WhatsApp,Sana,Ember,Vertex,casual,fixed the spacing on the ember summary card. that closes out the third batch.,Fixed the spacing on the Ember summary card. That closes out the third batch.,4543,dictation,
rec-0023,2026-07-08T14:00:00+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,for northwind emails i keep it formal and always sign off with best regards maya,"For Northwind emails I keep it formal and always sign off with Best regards, Maya.",3608,dictation,style_northwind_1_explicit
rec-0024,2026-07-08T14:57:50.526316+00:00,WhatsApp,Dev,Atlas,Northwind,casual,synced the atlas design tokens with the latest build,Synced the Atlas design tokens with the latest build.,2014,dictation,
rec-0025,2026-07-08T15:01:44.210526+00:00,Slack,#halo-build,Halo,Acme,casual,exported the hello icons at two and three x,Exported the Halo icons at two and three x.,1720,dictation,
rec-0026,2026-07-08T15:40:41.052632+00:00,Slack,#halo-build,Halo,Acme,casual,reviewed the pull request for the halo settings screen. that closes out the second batch.,Reviewed the pull request for the Halo settings screen. That closes out the second batch.,4450,dictation,
rec-0027,2026-07-08T15:57:47.368421+00:00,Linear,EMB,Ember,Vertex,terse,cleaned up the old ember branches that were already merged that closes out the third batch,Cleaned up the old Ember branches that were already merged. That closes out the third batch.,3496,dictation,
rec-0028,2026-07-09T09:00:00+00:00,Linear,HALO,,,terse,every monday i write the weekly status update into linear before the standup.,Every Monday I write the weekly status update into Linear before the standup.,3157,dictation,routine_1_explicit
rec-0029,2026-07-09T09:21:56.842105+00:00,Linear,HALO,Halo,Acme,terse,walked through the halo onboarding copy one more time. nothing blocking.,Walked through the Halo onboarding copy one more time. Nothing blocking.,2880,dictation,
rec-0030,2026-07-09T10:06:00+00:00,Slack,#halo-build,Halo,Acme,casual,i'll keep this one short running between hello meetings right now,"I'll keep this one short, running between Halo meetings right now.",4026,dictation,ephemeral_19
rec-0031,2026-07-09T10:45:00+00:00,Gmail,priya@acme.com,Halo,Acme,formal,checked the hello analytics dashboard nothing unusual this week nothing blocking,"Checked the Halo analytics dashboard, nothing unusual this week. Nothing blocking.",3772,dictation,
rec-0032,2026-07-09T13:57:06.315789+00:00,Slack,Sana,Ember,Vertex,casual,checked the ember analytics dashboard nothing unusual this week,"Checked the Ember analytics dashboard, nothing unusual this week.",2665,dictation,
rec-0033,2026-07-09T16:14:12.631579+00:00,WhatsApp,Dev,Atlas,Northwind,casual,pushed the latest atlas wireframes to the shared folder for review.,Pushed the latest Atlas wireframes to the shared folder for review.,4154,dictation,
rec-0034,2026-07-09T17:31:03.157895+00:00,WhatsApp,Dev,Atlas,Northwind,casual,fixed the spacing on the atlas summary card,Fixed the spacing on the Atlas summary card.,1892,dictation,
rec-0035,2026-07-09T18:07:09.473684+00:00,WhatsApp,Dev,Halo,Acme,casual,copied the hello meeting notes into the shared doc tagged it so it is easy to find later,Copied the Halo meeting notes into the shared doc. Tagged it so it is easy to find later.,4806,dictation,
rec-0036,2026-07-10T09:39:47.368421+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,walked through the amber onboarding copy one more time,Walked through the Ember onboarding copy one more time.,3080,dictation,
rec-0037,2026-07-10T09:48:37.894737+00:00,Gmail,priya@acme.com,Halo,Acme,formal,synced the halo design tokens with the latest build will pick it up again tomorrow,Synced the Halo design tokens with the latest build. Will pick it up again tomorrow.,4368,dictation,
rec-0038,2026-07-10T10:01:22.105263+00:00,Gmail,priya@acme.com,Halo,Acme,formal,walked through the hello onboarding copy one more time tagged it so it is easy to find later,Walked through the Halo onboarding copy one more time. Tagged it so it is easy to find later.,4464,dictation,
rec-0039,2026-07-10T10:03:00+00:00,Slack,#halo-build,Halo,Acme,casual,going to skip the hello standup this morning back tomorrow.,"Going to skip the Halo standup this morning, back tomorrow.",3540,dictation,ephemeral_10
rec-0040,2026-07-10T12:05:31.578947+00:00,WhatsApp,Dev,Halo,Acme,casual,reviewed the pull request for the hello settings screen will pick it up again tomorrow,Reviewed the pull request for the Halo settings screen. Will pick it up again tomorrow.,4872,dictation,
rec-0041,2026-07-10T13:13:15.789474+00:00,Linear,ATL,Atlas,Northwind,terse,synced the atlas design tokens with the latest build,Synced the Atlas design tokens with the latest build.,3286,dictation,
rec-0042,2026-07-10T14:26:34.736842+00:00,Linear,HALO,Halo,Acme,terse,fixed the spacing on the halo summary card,Fixed the spacing on the Halo summary card.,1849,dictation,
rec-0043,2026-07-10T14:53:50.526316+00:00,Notion,Ember tokens,Ember,Vertex,structured,copied the amber meeting notes into the shared doc.,Copied the Ember meeting notes into the shared doc.,3162,dictation,
rec-0044,2026-07-10T15:35:28.421053+00:00,WhatsApp,Dev,Atlas,Northwind,casual,exported the atlas icons at two and three x no changes needed after the review,Exported the Atlas icons at two and three x. No changes needed after the review.,3600,dictation,
rec-0045,2026-07-10T16:10:25.263158+00:00,Linear,EMB,Ember,Vertex,terse,checked the amber analytics dashboard nothing unusual this week,"Checked the Ember analytics dashboard, nothing unusual this week.",3640,dictation,
rec-0046,2026-07-10T16:30:41.052632+00:00,WhatsApp,Dev,Halo,Acme,casual,pushed the latest hello wireframes to the shared folder for review.,Pushed the latest Halo wireframes to the shared folder for review.,3432,dictation,
rec-0047,2026-07-10T16:34:44.210526+00:00,Linear,HALO,Halo,Acme,terse,ran through the hello prototype end to end and captured a few screenshots,Ran through the Halo prototype end to end and captured a few screenshots.,4307,dictation,
rec-0048,2026-07-10T17:04:53.684211+00:00,Slack,Priya,Halo,Acme,casual,checked the hello analytics dashboard nothing unusual this week that closes out the first batch,"Checked the Halo analytics dashboard, nothing unusual this week. That closes out the first batch.",5723,dictation,
rec-0049,2026-07-10T17:45:18.947368+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,checked the amber analytics dashboard nothing unusual this week.,"Checked the Ember analytics dashboard, nothing unusual this week.",3250,dictation,
rec-0050,2026-07-13T09:32:34.736842+00:00,Notion,Ember tokens,Ember,Vertex,structured,left comments on the second half of the amber flow that closes out the third batch,Left comments on the second half of the Ember flow. That closes out the third batch.,4284,dictation,
rec-0051,2026-07-13T09:43:25.263158+00:00,WhatsApp,Sana,Ember,Vertex,casual,exported the ember icons at two and three x. no changes needed after the review.,Exported the Ember icons at two and three x. No changes needed after the review.,4640,dictation,
rec-0052,2026-07-13T10:10:00+00:00,Slack,#halo-build,Atlas,Northwind,casual,using the corner room for today's atlas session.,Using the corner room for today's Atlas session.,2832,dictation,ephemeral_11
rec-0053,2026-07-13T10:18:15.789474+00:00,Slack,#atlas-migration,Atlas,Northwind,casual,quick note that the atlas staging environment is back up nothing blocking,Quick note that the Atlas staging environment is back up. Nothing blocking.,4200,dictation,
rec-0054,2026-07-13T11:07:00+00:00,Notion,Halo spec,Halo,Acme,structured,renamed the halo components so the naming matches the spec will pick it up again tomorrow,Renamed the Halo components so the naming matches the spec. Will pick it up again tomorrow.,5096,dictation,
rec-0055,2026-07-13T11:33:12.631579+00:00,WhatsApp,Sana,Ember,Vertex,casual,left comments on the second half of the amber flow. that closes out the second batch.,Left comments on the second half of the Ember flow. That closes out the second batch.,4420,dictation,
rec-0056,2026-07-13T11:55:31.578947+00:00,Slack,#ember-ds,Ember,Vertex,casual,synced the amber design tokens with the latest build. that closes out the second batch.,Synced the Ember design tokens with the latest build. That closes out the second batch.,5220,dictation,
rec-0057,2026-07-13T12:17:03.157895+00:00,Notion,Ember tokens,Ember,Vertex,structured,copied the ember meeting notes into the shared doc will pick it up again tomorrow,Copied the Ember meeting notes into the shared doc. Will pick it up again tomorrow.,3403,dictation,
rec-0058,2026-07-13T12:30:06.315789+00:00,WhatsApp,Dev,Atlas,Northwind,casual,synced the atlas design tokens with the latest build. will pick it up again tomorrow.,Synced the Atlas design tokens with the latest build. Will pick it up again tomorrow.,4590,dictation,
rec-0059,2026-07-13T12:47:18.947368+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,cleaned up the old atlas branches that were already merged nothing blocking,Cleaned up the old Atlas branches that were already merged. Nothing blocking.,4004,dictation,
rec-0060,2026-07-13T13:48:22.105263+00:00,Linear,HALO,Halo,Acme,terse,fixed the spacing on the hello summary card nothing blocking,Fixed the spacing on the Halo summary card. Nothing blocking.,2562,dictation,
rec-0061,2026-07-13T17:02:56.842105+00:00,Linear,EMB,Ember,Vertex,terse,left comments on the second half of the amber flow.,Left comments on the second half of the Ember flow.,2091,dictation,
rec-0062,2026-07-13T17:16:28.421053+00:00,Notion,Atlas runbook,Atlas,Northwind,structured,updated the atlas changelog with this week's items that closes out the first batch,Updated the Atlas changelog with this week's items. That closes out the first batch.,4788,dictation,
rec-0063,2026-07-13T17:27:09.473684+00:00,Slack,#atlas-migration,Atlas,Northwind,casual,left comments on the second half of the atlas flow.,Left comments on the second half of the Atlas flow.,2448,dictation,
rec-0064,2026-07-14T10:07:00+00:00,Slack,#halo-build,Atlas,Northwind,casual,i'm working from the cafe today so i might drop off the atlas call.,I'm working from the cafe today so I might drop off the Atlas call.,2948,dictation,ephemeral_2
rec-0065,2026-07-14T10:10:47.368421+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,reviewed the pull request for the atlas settings screen. that closes out the second batch.,Reviewed the pull request for the Atlas settings screen. That closes out the second batch.,4320,dictation,
rec-0066,2026-07-14T10:34:41.052632+00:00,Notion,Ember tokens,Ember,Vertex,structured,cleaned up the old amber branches that were already merged,Cleaned up the old Ember branches that were already merged.,2419,dictation,
rec-0067,2026-07-14T11:30:37.894737+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,quick note that the atlas staging environment is back up tagged it so it is easy to find later,Quick note that the Atlas staging environment is back up. Tagged it so it is easy to find later.,5280,dictation,
rec-0068,2026-07-14T12:06:56.842105+00:00,Linear,ATL,Atlas,Northwind,terse,checked the atlas analytics dashboard nothing unusual this week left a note for rohan,"Checked the Atlas analytics dashboard, nothing unusual this week. Left a note for Rohan.",4400,dictation,
rec-0069,2026-07-14T12:09:44.210526+00:00,Linear,HALO,Halo,Acme,terse,exported the halo icons at two and three x no changes needed after the review,Exported the Halo icons at two and three x. No changes needed after the review.,4108,dictation,
rec-0070,2026-07-14T13:51:50.526316+00:00,Slack,#ember-ds,Ember,Vertex,casual,ran through the amber prototype end to end and captured a few screenshots,Ran through the Ember prototype end to end and captured a few screenshots.,4366,dictation,
rec-0071,2026-07-14T15:00:00+00:00,Slack,#halo-build,Halo,Acme,casual,we're going with postgres over mongo for the halo data layer.,We're going with Postgres over Mongo for the Halo data layer.,2318,dictation,decision_postgres
rec-0072,2026-07-14T15:56:53.684211+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,quick note that the ember staging environment is back up nothing blocking,Quick note that the Ember staging environment is back up. Nothing blocking.,4350,dictation,
rec-0073,2026-07-15T10:00:00+00:00,Notion,Halo spec,Halo,Acme,structured,confirmed that hello phase one is budgeted at twelve lakh,Confirmed that Halo phase one is budgeted at twelve lakh.,2964,dictation,budget_phase_one
rec-0074,2026-07-15T12:10:00+00:00,Slack,Dev,Atlas,Northwind,casual,between us the salary discussion with the atlas client went badly the design review is still on for thursday,"Between us, the salary discussion with the Atlas client went badly. The design review is still on for Thursday.",5550,dictation,sensitive_financial_2
rec-0075,2026-07-15T12:58:09.473684+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,renamed the ember components so the naming matches the spec that closes out the second batch,Renamed the Ember components so the naming matches the spec. That closes out the second batch.,4888,dictation,
rec-0076,2026-07-15T13:04:03.157895+00:00,WhatsApp,Dev,Halo,Acme,casual,quick note that the halo staging environment is back up that closes out the first batch,Quick note that the Halo staging environment is back up. That closes out the first batch.,4539,dictation,
rec-0077,2026-07-15T13:32:15.789474+00:00,Slack,Dev,Atlas,Northwind,casual,cleaned up the old atlas branches that were already merged that closes out the third batch,Cleaned up the old Atlas branches that were already merged. That closes out the third batch.,5244,dictation,
rec-0078,2026-07-15T14:19:12.631579+00:00,WhatsApp,Sana,Ember,Vertex,casual,exported the ember icons at two and three x nothing blocking,Exported the Ember icons at two and three x. Nothing blocking.,3658,dictation,
rec-0079,2026-07-15T16:29:06.315789+00:00,Gmail,priya@acme.com,Halo,Acme,formal,walked through the hello onboarding copy one more time. nothing blocking.,Walked through the Halo onboarding copy one more time. Nothing blocking.,3384,dictation,
rec-0080,2026-07-15T18:21:00+00:00,Notion,Ember tokens,Ember,Vertex,structured,reviewed the pull request for the ember settings screen. left a note for priya.,Reviewed the pull request for the Ember settings screen. Left a note for Priya.,4345,dictation,
rec-0081,2026-07-16T09:03:34.736842+00:00,Slack,#atlas-migration,Atlas,Northwind,casual,walked through the atlas onboarding copy one more time.,Walked through the Atlas onboarding copy one more time.,2420,dictation,
rec-0082,2026-07-16T11:34:31.578947+00:00,Gmail,priya@acme.com,Halo,Acme,formal,updated the halo changelog with this week's items no changes needed after the review,Updated the Halo changelog with this week's items. No changes needed after the review.,5332,dictation,
rec-0083,2026-07-16T12:47:25.263158+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,reviewed the pull request for the atlas settings screen no changes needed after the review,Reviewed the pull request for the Atlas settings screen. No changes needed after the review.,3588,dictation,
rec-0084,2026-07-16T15:13:18.947368+00:00,Gmail,priya@acme.com,Halo,Acme,formal,left comments on the second half of the halo flow will pick it up again tomorrow,Left comments on the second half of the Halo flow. Will pick it up again tomorrow.,3526,dictation,
rec-0085,2026-07-16T15:40:00+00:00,WhatsApp,Sana,Atlas,Northwind,casual,feeling burnt out this week the atlas deliverable is on track regardless,Feeling burnt out this week. The Atlas deliverable is on track regardless.,3182,dictation,sensitive_emotional_state_b7
rec-0086,2026-07-16T16:19:28.421053+00:00,WhatsApp,Dev,Halo,Acme,casual,left comments on the second half of the hello flow that closes out the first batch,Left comments on the second half of the Halo flow. That closes out the first batch.,5063,dictation,
rec-0087,2026-07-16T18:01:37.894737+00:00,Notion,Atlas runbook,Atlas,Northwind,structured,updated the atlas changelog with this week's items. tagged it so it is easy to find later.,Updated the Atlas changelog with this week's items. Tagged it so it is easy to find later.,5220,dictation,
rec-0088,2026-07-16T18:53:22.105263+00:00,Slack,#halo-build,Halo,Acme,casual,archived the halo research recordings from last month nothing blocking,Archived the Halo research recordings from last month. Nothing blocking.,4248,dictation,
rec-0089,2026-07-17T09:06:41.052632+00:00,WhatsApp,Dev,Atlas,Northwind,casual,left comments on the second half of the atlas flow tagged it so it is easy to find later,Left comments on the second half of the Atlas flow. Tagged it so it is easy to find later.,4950,dictation,
rec-0090,2026-07-17T09:08:00+00:00,Notion,Ember tokens,Ember,Vertex,structured,quick note that the amber staging environment is back up left a note for preeya,Quick note that the Ember staging environment is back up. Left a note for Priya.,3920,dictation,
rec-0091,2026-07-17T09:11:18.947368+00:00,Linear,ATL,Atlas,Northwind,terse,copied the atlas meeting notes into the shared doc,Copied the Atlas meeting notes into the shared doc.,2448,dictation,
rec-0092,2026-07-17T09:53:44.210526+00:00,Notion,Ember tokens,Ember,Vertex,structured,cleaned up the old amber branches that were already merged. no changes needed after the review.,Cleaned up the old Ember branches that were already merged. No changes needed after the review.,5700,dictation,
rec-0093,2026-07-17T10:03:12.631579+00:00,Gmail,priya@acme.com,Halo,Acme,formal,archived the halo research recordings from last month,Archived the Halo research recordings from last month.,2970,dictation,
rec-0094,2026-07-17T10:13:00+00:00,Slack,#halo-build,Atlas,Northwind,casual,only for today route the atlas questions to dev.,"Only for today, route the Atlas questions to Dev.",2058,dictation,ephemeral_20
rec-0095,2026-07-17T11:12:50.526316+00:00,Slack,#ember-ds,Ember,Vertex,casual,reviewed the pull request for the ember settings screen will pick it up again tomorrow,Reviewed the pull request for the Ember settings screen. Will pick it up again tomorrow.,3784,dictation,
rec-0096,2026-07-17T11:58:15.789474+00:00,Linear,EMB,Ember,Vertex,terse,archived the ember research recordings from last month tagged it so it is easy to find later,Archived the Ember research recordings from last month. Tagged it so it is easy to find later.,5452,dictation,
rec-0097,2026-07-17T13:12:56.842105+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,reviewed the pull request for the amber settings screen. that closes out the second batch.,Reviewed the pull request for the Ember settings screen. That closes out the second batch.,4950,dictation,
rec-0098,2026-07-17T13:53:03.157895+00:00,Linear,ATL,Atlas,Northwind,terse,ran through the atlas prototype end to end and captured a few screenshots,Ran through the Atlas prototype end to end and captured a few screenshots.,4588,dictation,
rec-0099,2026-07-17T15:10:09.473684+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,archived the ember research recordings from last month no changes needed after the review,Archived the Ember research recordings from last month. No changes needed after the review.,4732,dictation,
rec-0100,2026-07-17T16:19:47.368421+00:00,Linear,HALO,Halo,Acme,terse,updated the hello changelog with this week's items. left a note for sana.,Updated the Halo changelog with this week's items. Left a note for Sana.,4392,dictation,
rec-0101,2026-07-17T16:47:53.684211+00:00,Notion,Ember tokens,Ember,Vertex,structured,left comments on the second half of the ember flow will pick it up again tomorrow,Left comments on the second half of the Ember flow. Will pick it up again tomorrow.,4399,dictation,
rec-0102,2026-07-17T17:02:06.315789+00:00,Notion,Ember tokens,Ember,Vertex,structured,pushed the latest ember wireframes to the shared folder for review tagged it so it is easy to find later,Pushed the latest Ember wireframes to the shared folder for review. Tagged it so it is easy to find later.,5088,dictation,
rec-0103,2026-07-20T10:04:28.421053+00:00,Slack,Sana,Ember,Vertex,casual,renamed the amber components so the naming matches the spec left a note for dev,Renamed the Ember components so the naming matches the spec. Left a note for Dev.,4617,dictation,
rec-0104,2026-07-20T10:08:56.842105+00:00,Notion,Halo spec,Halo,Acme,structured,renamed the halo components so the naming matches the spec,Renamed the Halo components so the naming matches the spec.,2714,dictation,
rec-0105,2026-07-20T10:14:34.736842+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,quick note that the atlas staging environment is back up. nothing blocking.,Quick note that the Atlas staging environment is back up. Nothing blocking.,3375,dictation,
rec-0106,2026-07-20T10:26:37.894737+00:00,Notion,Atlas runbook,Atlas,Northwind,structured,updated the atlas changelog with this week's items that closes out the first batch,Updated the Atlas changelog with this week's items. That closes out the first batch.,4368,dictation,
rec-0107,2026-07-20T10:48:47.368421+00:00,WhatsApp,Sana,Ember,Vertex,casual,ran through the ember prototype end to end and captured a few screenshots.,Ran through the Ember prototype end to end and captured a few screenshots.,4144,dictation,
rec-0108,2026-07-20T11:06:31.578947+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,archived the atlas research recordings from last month will pick it up again tomorrow,Archived the Atlas research recordings from last month. Will pick it up again tomorrow.,4524,dictation,
rec-0109,2026-07-20T13:05:25.263158+00:00,Slack,Sana,Ember,Vertex,casual,ran through the ember prototype end to end and captured a few screenshots.,Ran through the Ember prototype end to end and captured a few screenshots.,4218,dictation,
rec-0110,2026-07-20T14:42:50.526316+00:00,Gmail,team@vertex.io,Ember,Vertex,formal,synced the ember design tokens with the latest build nothing blocking,Synced the Ember design tokens with the latest build. Nothing blocking.,3834,dictation,
rec-0111,2026-07-20T15:49:22.105263+00:00,Gmail,priya@acme.com,Halo,Acme,formal,checked the hello analytics dashboard nothing unusual this week,"Checked the Halo analytics dashboard, nothing unusual this week.",3712,dictation,
rec-0112,2026-07-20T16:10:41.052632+00:00,WhatsApp,Dev,Atlas,Northwind,casual,checked the atlas analytics dashboard nothing unusual this week. that closes out the third batch.,"Checked the Atlas analytics dashboard, nothing unusual this week. That closes out the third batch.",6076,dictation,
rec-0113,2026-07-20T16:36:00+00:00,Notion,Ember tokens,Ember,Vertex,structured,fixed the spacing on the ember summary card.,Fixed the spacing on the Ember summary card.,2024,dictation,
rec-0114,2026-07-20T16:54:53.684211+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,walked through the atlas onboarding copy one more time,Walked through the Atlas onboarding copy one more time.,3135,dictation,
rec-0115,2026-07-20T18:07:44.210526+00:00,WhatsApp,Dev,Atlas,Northwind,casual,updated the atlas changelog with this week's items that closes out the first batch,Updated the Atlas changelog with this week's items. That closes out the first batch.,3612,dictation,
rec-0116,2026-07-21T09:45:15.789474+00:00,Gmail,priya@acme.com,Halo,Acme,formal,updated the hello changelog with this week's items,Updated the Halo changelog with this week's items.,2550,dictation,
rec-0117,2026-07-21T10:17:00+00:00,Slack,#halo-build,Ember,Vertex,casual,i'll keep this one short running between ember meetings right now,"I'll keep this one short, running between Ember meetings right now.",3484,dictation,ephemeral_12
rec-0118,2026-07-21T12:22:03.157895+00:00,Slack,#atlas-migration,Atlas,Northwind,casual,archived the atlas research recordings from last month tagged it so it is easy to find later,Archived the Atlas research recordings from last month. Tagged it so it is easy to find later.,4230,dictation,
rec-0119,2026-07-21T13:00:00+00:00,Slack,Priya,Halo,Acme,casual,i'll send priya the revised halo scope document by friday.,I'll send Priya the revised Halo scope document by Friday.,2726,dictation,commitment_1
rec-0120,2026-07-21T13:11:12.631579+00:00,WhatsApp,Sana,Ember,Vertex,casual,copied the ember meeting notes into the shared doc tagged it so it is easy to find later,Copied the Ember meeting notes into the shared doc. Tagged it so it is easy to find later.,4860,dictation,
rec-0121,2026-07-21T13:16:18.947368+00:00,Slack,Dev,Atlas,Northwind,casual,left comments on the second half of the atlas flow tagged it so it is easy to find later,Left comments on the second half of the Atlas flow. Tagged it so it is easy to find later.,5490,dictation,
rec-0122,2026-07-21T13:39:06.315789+00:00,WhatsApp,Dev,Halo,Acme,casual,synced the hello design tokens with the latest build nothing blocking,Synced the Halo design tokens with the latest build. Nothing blocking.,3710,dictation,
rec-0123,2026-07-21T17:00:00+00:00,Notion,Halo spec,Halo,Acme,structured,i think i'm probably more productive on halo in the mornings,I think I'm probably more productive on Halo in the mornings.,2684,dictation,inference_1
rec-0124,2026-07-21T18:49:09.473684+00:00,Linear,ATL,Atlas,Northwind,terse,copied the atlas meeting notes into the shared doc. that closes out the third batch.,Copied the Atlas meeting notes into the shared doc. That closes out the third batch.,4116,dictation,
rec-0125,2026-07-22T10:14:00+00:00,Slack,#halo-build,Ember,Vertex,casual,going to skip the ember standup this morning back tomorrow,"Going to skip the Ember standup this morning, back tomorrow.",3120,dictation,ephemeral_3
rec-0126,2026-07-22T10:17:41.052632+00:00,Gmail,rohan@northwind.com,Atlas,Northwind,formal,walked through the atlas onboarding copy one more time tagged it so it is easy to find later,Walked through the Atlas onboarding copy one more time. Tagged it so it is easy to find later.,5076,dictation,
rec-0127,2026-07-22T12:57:31.578947+00:00,WhatsApp,Dev,Atlas,Northwind,casual,reviewed the pull request for the atlas settings screen,Reviewed the pull request for the Atlas settings screen.,3472,dictation,
rec-0128,2026-07-22T13:28:22.105263+00:00,Gmail,priya@acme.com,Halo,Acme,formal,walked through the hello onboarding copy one more time,Walked through the Halo onboarding copy one more time.,2646,dictation,
rec-0129,2026-07-22T14:49:37.894737+00:00,Notion,Halo spec,Halo,Acme,structured,checked the hello analytics dashboard nothing unusual this week,"Checked the Halo analytics dashboard, nothing unusual this week.",3712,dictation,
rec-0130,2026-07-22T15:25:25.263158+00:00,Linear,HALO,Halo,Acme,terse,exported the hello icons at two and three x. that closes out the third batch.,Exported the Halo icons at two and three x. That closes out the third batch.,4484,dictation,
